"release_id", "release_date", "action", "file_name"
"r000024","2018-09-03 15:09:17","create","script (1).sql"
"r000024","2018-09-03 15:09:17","create","script (2).sql"
"r000024","2018-09-03 15:09:17","create","script (3).sql"
"r000024","2018-09-03 15:09:17","revert","revert (1).sql"
"r000024","2018-09-03 15:09:17","revert","revert (2).sql"
"r000024","2018-09-03 15:09:17","revert","revert (3).sql"
"r000024","2018-09-03 15:09:17","revert","revert (4).sql"
"test","2018-09-04 08:36:56","create","script (1).sql"
"test","2018-09-04 08:36:56","create","script (2).sql"
"test","2018-09-04 08:36:56","create","script (3).sql"
"test","2018-09-04 08:36:56","revert","revert (1).sql"
"test","2018-09-04 08:36:56","revert","revert (2).sql"
"test","2018-09-04 08:36:56","revert","revert (3).sql"
"test","2018-09-04 08:36:56","revert","revert (4).sql"
